candidate_id,candidate_name,candidate_url,party,criminal_cases,education,age,total_assets,liabilities,constituency,constituency_id,district,total_assets_inr,liabilities_inr,age_int,criminal_cases_int
2897,Krishnakanth. E,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2897,IND,0,10th Pass,32,"Rs 81,000 ~ 81 Thou+",Rs 0 ~,CHEYYUR (SC),25,CHENGALPATTU,8100081.0,0.0,32,0
846,Mohan Raja.M.G.K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=846,Tamilaga Vettri Kazhagam,0,Others,46,"Rs 1,04,42,500 ~ 1 Crore+","Rs 56,87,000 ~ 56 Lacs+",CHEYYUR (SC),25,CHENGALPATTU,104425001.0,568700056.0,46,0
2899,Raja. K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2899,IND,0,10th Pass,40,"Rs 9,05,500 ~ 9 Lacs+","Rs 2,03,000 ~ 2 Lacs+",CHEYYUR (SC),25,CHENGALPATTU,9055009.0,2030002.0,40,0
263,Rajasekar. E,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=263,AIADMK,0,10th Pass,64,"Rs 68,63,65,152 ~ 68 Crore+","Rs 24,05,82,181 ~ 24 Crore+",CHEYYUR (SC),25,CHENGALPATTU,68636515268.0,24058218124.0,64,0
847,Sinthanai Selvan,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=847,Viduthalai Chiruthaigal Katchi,0,Others,61,,,CHEYYUR (SC),25,CHENGALPATTU,,,61,0
26,Swathilakshmi Sekar,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=26,Naam Tamilar Katchi,0,Graduate,31,"Rs 12,46,200 ~ 12 Lacs+","Rs 22,33,634 ~ 22 Lacs+",CHEYYUR (SC),25,CHENGALPATTU,124620012.0,223363422.0,31,0
849,Ezhil Katharine Ezhilmalai,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=849,Tamilaga Vettri Kazhagam,1,Post Graduate,53,"Rs 4,96,35,000 ~ 4 Crore+","Rs 70,00,000 ~ 70 Lacs+",MADURANTAKAM (SC),26,CHEYYUR (SC),496350004.0,700000070.0,53,1
85,G.Janakiraman,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=85,Naam Tamilar Katchi,0,Post Graduate,33,"Rs 41,84,358 ~ 41 Lacs+","Rs 28,43,000 ~ 28 Lacs+",MADURANTAKAM (SC),26,CHEYYUR (SC),418435841.0,284300028.0,33,0
2903,M.Kadirvel,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=2903,IND,0,Post Graduate,62,,,MADURANTAKAM (SC),26,CHEYYUR (SC),,,62,0
848,Maragatham Kumaravel.K,https://www.myneta.info/TamilNadu2026/candidate.php?candidate_id=848,AIADMK,0,Post Graduate,44,"Rs 3,07,65,145 ~ 3 Crore+","Rs 20,12,704 ~ 20 Lacs+",MADURANTAKAM (SC),26,CHEYYUR (SC),307651453.0,201270420.0,44,0
