district,constituency,constituency_id,url
KANCHEEPURAM,ALANDUR,71,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=71
ALANDUR,KANCHEEPURAM,72,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=72
KANCHEEPURAM,SRIPERUMBUDUR (SC),73,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=73
SRIPERUMBUDUR (SC),UTHIRAMERUR,74,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=74
KANNIYAKUMARI,COLACHAL,77,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=77
COLACHAL,KANNIYAKUMARI,75,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=75
KANNIYAKUMARI,KILLIYOOR,80,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=80
KILLIYOOR,NAGERCOIL,76,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=76
NAGERCOIL,PADMANABHAPURAM,78,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=78
PADMANABHAPURAM,VILAVANCODE,79,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=79
KARUR,ARAVAKURICHI,81,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=81
ARAVAKURICHI,KARUR,82,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=82
KARUR,KRISHNARAYAPURAM (SC),83,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=83
KRISHNARAYAPURAM (SC),KULITHALAI,84,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=84
KRISHNAGIRI,BARGUR,86,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=86
BARGUR,HOSUR,89,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=89
HOSUR,KRISHNAGIRI,87,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=87
KRISHNAGIRI,THALLY,90,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=90
THALLY,UTHANGARAI (SC),85,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=85
UTHANGARAI (SC),VEPPANAHALLI,88,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=88
MADURAI,MADURAI CENTRAL,96,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=96
MADURAI CENTRAL,MADURAI EAST,92,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=92
MADURAI EAST,MADURAI NORTH,94,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=94
MADURAI NORTH,MADURAI SOUTH,95,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=95
MADURAI SOUTH,MADURAI WEST,97,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=97
MADURAI WEST,MELUR,91,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=91
MELUR,SHOLAVANDAN (SC),93,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=93
SHOLAVANDAN (SC),THIRUMANGALAM,99,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=99
THIRUMANGALAM,THIRUPARANKUNDRAM,98,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=98
THIRUPARANKUNDRAM,USILAMPATTI,100,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=100
NAGAPATTINAM,KILVELUR,106,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=106
KILVELUR,MAYILADUTHURAI,103,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=103
MAYILADUTHURAI,NAGAPATTINAM,105,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=105
NAGAPATTINAM,POOMPUHAR,104,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=104
POOMPUHAR,SIRKAZHI (SC),102,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=102
SIRKAZHI (SC),VEDHARANYAM,107,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=107
NAMAKKAL,KUMARAPALAYAM,113,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=113
KUMARAPALAYAM,NAMAKKAL,110,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=110
NAMAKKAL,PARAMATHIVELUR,111,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=111
PARAMATHIVELUR,RASIPURAM(SC),108,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=108
RASIPURAM(SC),SENTHAMANGALAM(ST),109,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=109
SENTHAMANGALAM(ST),TIRUCHENGODU,112,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=112
PERAMBALUR,KUNNAM,115,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=115
KUNNAM,PERAMBALUR (SC),114,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=114
PUDUKKOTTAI,ALANGUDI,120,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=120
ALANGUDI,ARANTHANGI,121,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=121
ARANTHANGI,GANDARVAKOTTAI (SC),116,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=116
GANDARVAKOTTAI (SC),PUDUKKOTTAI,118,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=118
PUDUKKOTTAI,THIRUMAYAM,119,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=119
THIRUMAYAM,VIRALIMALAI,117,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=117
RAMANATHAPURAM,MUDUKULATHUR,125,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=125
MUDUKULATHUR,PARAMAKUDI (SC),122,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=122
PARAMAKUDI (SC),RAMANATHAPURAM,124,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=124
RAMANATHAPURAM,TIRUVADANAI,123,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=123
RANIPET,ARAKKONAM (SC),126,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=126
ARAKKONAM (SC),ARCOT,129,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=129
ARCOT,RANIPET,128,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=128
RANIPET,SHOLINGHUR,127,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=127
SALEM,ATTUR (SC),131,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=131
ATTUR (SC),EDAPPADI,135,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=135
EDAPPADI,GANGAVALLI (SC),130,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=130
GANGAVALLI (SC),METTUR,134,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=134
METTUR,OMALUR,133,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=133
OMALUR,SALEM (NORTH),138,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=138
SALEM (NORTH),SALEM (SOUTH),139,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=139
SALEM (SOUTH),SALEM (WEST),137,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=137
SALEM (WEST),SANKARI,136,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=136
SANKARI,VEERAPANDI,140,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=140
VEERAPANDI,YERCAUD (ST),132,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=132
SIVAGANGA,KARAIKUDI,142,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=142
KARAIKUDI,MANAMADURAI (SC),145,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=145
MANAMADURAI (SC),SIVAGANGA,144,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=144
SIVAGANGA,TIRUPPATHUR,143,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=143
TENKASI,ALANGULAM,146,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=146
ALANGULAM,KADAYANALLUR,147,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=147
KADAYANALLUR,SANKARANKOVIL (SC),148,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=148
SANKARANKOVIL (SC),TENKASI,149,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=149
TENKASI,VASUDEVANALLUR (SC),150,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=150
THANJAVUR,KUMBAKONAM,152,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=152
KUMBAKONAM,ORATHANADU,156,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=156
ORATHANADU,PAPANASAM,153,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=153
PAPANASAM,PATTUKKOTTAI,157,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=157
PATTUKKOTTAI,PERAVURANI,158,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=158
PERAVURANI,THANJAVUR,155,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=155
THANJAVUR,THIRUVAIYARU,154,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=154
THIRUVAIYARU,THIRUVIDAIMARUDUR (SC),151,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=151
THE NILGIRIS,COONOOR,161,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=161
COONOOR,GUDALUR (SC),160,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=160
GUDALUR (SC),UDHAGAMANDALAM,159,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=159
THENI,ANDIPATTI,162,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=162
ANDIPATTI,BODINAYAKKANUR,164,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=164
BODINAYAKKANUR,CUMBUM,165,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=165
CUMBUM,PERIYAKULAM (SC),163,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=163
THIRUVALLUR,AMBATTUR,177,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=177
AMBATTUR,AVADI,175,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=175
AVADI,GUMMIDIPOONDI,170,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=170
GUMMIDIPOONDI,MADHAVARAM,178,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=178
MADHAVARAM,MADHURAVOYAL,176,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=176
MADHURAVOYAL,PONNERI (SC),171,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=171
PONNERI (SC),POONAMALLEE (SC),174,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=174
POONAMALLEE (SC),THIRUVALLUR,173,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=173
THIRUVALLUR,THIRUVOTTIYUR,179,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=179
THIRUVOTTIYUR,TIRUTTANI,172,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=172
THIRUVARUR,MANNARGUDI,182,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=182
MANNARGUDI,NANNILAM,184,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=184
NANNILAM,THIRUTHURAIPOONDI (SC),181,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=181
THIRUTHURAIPOONDI (SC),THIRUVARUR,183,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=183
THOOTHUKUDI,KOVILPATTI,190,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=190
KOVILPATTI,OTTAPIDARAM (SC),189,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=189
OTTAPIDARAM (SC),SRIVAIKUNTAM,188,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=188
SRIVAIKUNTAM,THOOTHUKUDI,186,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=186
THOOTHUKUDI,TIRUCHENDUR,187,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=187
TIRUCHENDUR,VILATHIKULAM,185,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=185
TIRUCHIRAPPALLI,LALGUDI,196,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=196
LALGUDI,MANACHANALLUR,197,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=197
MANACHANALLUR,MANAPPARAI,191,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=191
MANAPPARAI,MUSIRI,198,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=198
MUSIRI,SRIRANGAM,192,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=192
SRIRANGAM,THIRUVERUMBUR,195,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=195
THIRUVERUMBUR,THURAIYUR (SC),199,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=199
THURAIYUR (SC),TIRUCHIRAPPALLI (EAST),194,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=194
TIRUCHIRAPPALLI (EAST),TIRUCHIRAPPALLI (WEST),193,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=193
TIRUNELVELI,AMBASAMUDRAM,200,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=200
AMBASAMUDRAM,NANGUNERI,201,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=201
NANGUNERI,PALAYAMKOTTAI,202,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=202
PALAYAMKOTTAI,RADHAPURAM,203,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=203
RADHAPURAM,TIRUNELVELI,204,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=204
TIRUPATHUR,AMBUR,167,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=167
AMBUR,JOLARPET,168,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=168
JOLARPET,TIRUPATTUR,169,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=169
TIRUPATTUR,VANIYAMBADI,166,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=166
TIRUPPUR,AVANASHI (SC),205,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=205
AVANASHI (SC),DHARAPURAM (SC),206,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=206
DHARAPURAM (SC),KANGAYAM,207,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=207
KANGAYAM,MADATHUKULAM,208,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=208
MADATHUKULAM,PALLADAM,209,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=209
PALLADAM,TIRUPPUR (NORTH),210,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=210
TIRUPPUR (NORTH),TIRUPPUR (SOUTH),211,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=211
TIRUPPUR (SOUTH),UDUMALAIPETTAI,212,https://www.myneta.info/TamilNadu2026/index.php?action=show_candidates&constituency_id=212
