candidate_id,section,sr_no,description,self,spouse,huf,dependent1,dependent2,dependent3,total,total_inr
235,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
235,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
235,Details of Liabilities,Totals (Calculated as Sum of Values),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1452,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Grand Total of Liabilities (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1452,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1452,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1452,Details of Liabilities,Totals (Calculated as Sum of Values),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1448,Details of Liabilities,Loans due to Individual / Entity,"Unsecured loan from friends and relatives 81,00,000 81 Lacs+","Unsecured loan from friends and relatives 69,00,000 69 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,50,00,000 1 Crore+",,
1448,Details of Liabilities,Any other Liability,"28,25,000 28 Lacs+","14,75,000 14 Lacs+",Nil,Nil,Nil,Nil,"Rs 43,00,000 43 Lacs+",,
1448,Details of Liabilities,Grand Total of Liabilities (as per affidavit),"1,09,25,000 1 Crore+","83,75,000 83 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,93,00,000 1 Crore+",,
1448,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1448,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1448,Details of Liabilities,iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1448,Details of Liabilities,Totals (Calculated as Sum of Values),"Rs 1,09,25,000 1 Crore+","Rs 83,75,000 83 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,93,00,000 1 Crore+",,
1462,Details of Liabilities,i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1462,Details of Liabilities,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Grand Total of Liabilities (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
1462,Details of Liabilities,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
1462,Details of Liabilities,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,,
